"Avaliando IDEPB - 2017
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA
Rede Estadual";;;;;;;;;;;;;
Retorna Índice.;;;;;;;;;;;;;
Código da Etapa de Escolaridade;Etapa de Escolaridade;Rede de Ensino;Código de GRE;GRE;Código de Município;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093975;EEEFM CONEGO NICODEMOS NEVES;4,24;3,80;4,02;0,67;2,71
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094025;EEEFM TENENTE LUCENA;3,43;3,21;3,32;0,48;1,61
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094033;EEEFM MANOEL LISBOA DE MOURA;4,11;3,59;3,85;0,80;3,07
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094050;EEEFM PROF LUIZ GONZAGA DE ALBUQUERQUE BURITY;3,28;3,14;3,21;0,72;2,30
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094106;EEEFM LUZIA SIMOES BARTOLLINI;4,76;4,35;4,55;0,74;3,37
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094114;EEEIEJAFM DONA ALICE CARNEIRO;4,62;4,31;4,46;0,54;2,42
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094122;CPM-ESTUDANTE REBECA CRISTINA ALVES SIMOES;5,30;4,72;5,01;0,96;4,84
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094130;EEEFM ESCRITOR HORACIO DE ALMEIDA;4,50;4,11;4,31;0,73;3,14
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094157;EEEFM ESCRITOR JOSE LINS DO REGO;4,05;3,99;4,02;0,66;2,66
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094181;EEEFM PAPA PAULO VI;3,93;3,64;3,79;0,61;2,30
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094190;EEEFM PRESIDENTE JOAO GOULART;4,95;4,20;4,57;0,77;3,53
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094203;EEEFM DOM JOSE MARIA PIRES;3,68;3,43;3,55;0,41;1,46
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094211;EEEFM JOSE DO PATROCINIO;3,98;3,77;3,88;0,70;2,72
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094262;EEEF PROFESSOR JOAO JOSE DA COSTA;4,91;4,06;4,48;0,85;3,81
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094432;EEEFM DOMINGOS JOSE DA PAIXAO;4,28;3,62;3,95;0,89;3,52
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094637;EEEFM MONS PEDRO ANISIO BEZERRA DANTAS;3,27;3,46;3,36;0,54;1,82
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094653;EEEF PROF ORLANDO CAVALCANTI GOMES;3,70;3,34;3,52;0,70;2,47
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094661;EEEF PEDRO LINS VIEIRA DE MELO;4,84;4,26;4,55;0,76;3,47
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094688;EEEFM PADRE HILDON BANDEIRA;4,86;3,48;4,17;0,48;1,99
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094696;EEEF PADRE IBIAPINA;2,84;3,09;2,96;0,46;1,36
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094726;EEEFM PROF CELESTIN MALZAC;4,82;4,14;4,48;0,82;3,67
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094742;EEEFM PROFESSORA MARIA JACY COSTA;4,11;3,78;3,94;0,61;2,40
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094750;EEEFM PROF OLIVIO PINTO;3,95;3,53;3,74;0,80;3,00
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094777;EEEFM PROFª DEBORA DUARTE;4,02;3,53;3,78;0,72;2,72
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095013;EEEF PROFESSORA ANTONIA RANGEL DE FARIAS;4,13;4,03;4,08;0,84;3,43
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095048;EEEM PROFª URSULA LIANZA;4,74;3,94;4,34;0,55;2,39
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095056;EEEFM PREF OSWALDO PESSOA;4,32;3,96;4,14;0,69;2,84
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25095080;EEEFM PADRE ROMA;4,85;4,21;4,53;0,80;3,64
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25096702;ENE PROFª MARIA DO CARMO DE MIRANDA;4,76;4,10;4,43;0,67;2,97
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25097091;EEEFM AUDIOCOMUNICACAO;4,41;3,64;4,03;0,76;3,06
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25097725;INSTITUTO DE EDUCACAO DA PARAIBA IEP;4,74;4,16;4,45;0,79;3,50
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25098357;LYCEU PARAIBANO;5,04;4,55;4,79;0,86;4,13
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2508604;LUCENA;25098632;EEEFM IZAURA FALCAO DE CARVALHO;4,08;3,78;3,93;0,58;2,26
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099116;EEEFM PROF LUIS DE AZEVEDO SOARES;3,57;3,45;3,51;0,78;2,73
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099124;EEEFM FRANCISCO LEOCADIO RIBEIRO COUTINHO;3,09;3,16;3,13;0,57;1,78
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099159;EEEFM ENEAS CARVALHO;3,73;3,42;3,58;0,67;2,41
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099175;EEEF MARIA HONORINA SANTIAGO;3,59;3,29;3,44;0,60;2,05
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099256;EEEFM MARIA DE LOURDES ARAUJO;3,88;3,58;3,73;0,59;2,20
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099299;EEEFM CARLOS CHAGAS;3,55;3,26;3,41;0,81;2,77
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099507;ENEEFM ANISIO PEREIRA BORGES;3,63;3,12;3,38;0,72;2,45
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25099957;EEEFM DE FORTE VELHO;3,26;3,05;3,15;0,45;1,40
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2500601;ALHANDRA;25100033;EEEFM RENATO RIBEIRO COUTINHO;3,71;3,55;3,63;0,85;3,08
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2511905;PITIMBU;25101072;EEEFM DR JOAO GONCALVES;3,63;3,91;3,77;0,64;2,41
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2511905;PITIMBU;25101099;EEEFM DURVAL GUEDES;4,13;3,23;3,68;0,83;3,07
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2500601;ALHANDRA;25102519;EEEFM ANTONIO CAMELO;3,88;3,55;3,71;0,76;2,84
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25114484;EEEFM JOAO ROBERTO BORGES DE SOUZA;4,11;3,62;3,87;0,72;2,78
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25114506;EEEFM PROF JOSE BAPTISTA DE MELLO;4,48;4,17;4,33;0,78;3,37
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25115049;EEEF PROF PAULO FREIRE;5,16;4,34;4,75;0,46;2,20
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2513703;SANTA RITA;25116762;EEEFM LUIZ RIBEIRO LIMEIRA;4,61;3,54;4,08;0,56;2,28
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503001;CAAPORA;25120751;EEEFM PROFª AURICELIA MARIA DA COSTA;3,64;3,60;3,62;0,80;2,89
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2515971;SOBRADO;25122401;EEEFM SEVERINA RAMOS DE OLIVEIRA;4,32;4,03;4,17;0,60;2,51
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25124277;EEEFM SEVERINO DIAS DE OLIVEIRA MESTRE SIVUCA;4,23;3,88;4,06;0,83;3,38
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25126180;EEEM CINEASTA LINDUARTE NORONHA;4,06;3,52;3,79;0,36;1,35
27;3ª série do Ensino Médio;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25127594;ETE ERENICE CAVALCANTE FIDELES;4,64;4,43;4,53;0,86;3,88
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504900;CRUZ DO ESPIRITO SANTO;25088521;EEEF FAZ COBE;3,32;3,79;3,56;0,88;3,12
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504900;CRUZ DO ESPIRITO SANTO;25088572;EEEFM FLAVIO RIBEIRO COUTINHO;4,63;4,49;4,56;1,00;4,56
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2504900;CRUZ DO ESPIRITO SANTO;25088602;EEEF CAMPO DE SEMENTES E MUDAS;4,77;5,02;4,89;1,00;4,89
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2509107;MARI;25088963;EEEIEF AUGUSTO DOS ANJOS;4,47;4,67;4,57;0,81;3,72
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090933;EEEF ALVARO DE CARVALHO;5,84;6,21;6,03;0,95;5,69
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090941;EEEF ANITA GARIBALDI;4,75;4,62;4,68;0,71;3,33
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090976;EEEF GETULIO VARGAS;3,96;4,52;4,24;0,71;3,00
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2501807;BAYEUX;25090992;EEEF SENADOR TEOTONIO VILELA;3,55;4,14;3,84;0,78;3,00
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091565;EEEF AUGUSTO SEVERO;3,70;4,56;4,13;0,71;2,92
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091573;EEEF JOAO XXIII;4,64;5,69;5,16;0,95;4,93
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091646;EEEF PE ANTONIO VIEIRA;4,71;4,83;4,77;0,86;4,11
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2503209;CABEDELO;25091654;EEEF SAO JUDAS TADEU;3,88;3,86;3,87;0,81;3,12
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25092316;EEEF PROF CONCITA BARROS;4,10;4,09;4,10;0,83;3,40
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25092332;EEEF PROFESSORA DAGMAR MENDONCA LIMEIRA;5,03;4,46;4,75;0,88;4,20
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25092839;CENTRO EST EXP DE ENS A SESQUICENTENARIO;6,98;7,05;7,02;0,97;6,80
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093622;EEEF FRANCISCO CAMPOS;5,29;5,48;5,39;0,88;4,73
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093746;EEEF PROF TERCIA BONAVIDES LINS;4,07;3,97;4,02;0,71;2,87
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093754;EEEF CAPISTRANO DE ABREU;5,38;5,24;5,31;1,00;5,31
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093827;EEEF CLAUDINA MANGUEIRA DE MOURA;5,40;5,11;5,25;0,95;4,98
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093860;EEEFM RAUL MACHADO;5,26;5,33;5,30;0,38;2,02
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093967;EEEFM PROF MARIA BRONZEADO MACHADO;4,59;4,50;4,54;0,81;3,69
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25093975;EEEFM CONEGO NICODEMOS NEVES;4,57;4,78;4,67;0,84;3,92
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094025;EEEFM TENENTE LUCENA;5,43;5,19;5,31;0,94;4,97
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094084;EEEF CAPITULINA SATYRO;4,51;4,54;4,53;0,79;3,57
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094173;EEEF PADRE MIGUELINHO;3,09;3,75;3,42;0,77;2,62
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094220;EEEF MARCILIO DIAS;3,88;3,43;3,65;0,84;3,06
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094254;EEEF PADRE CICERO ROMAO BATISTA;4,32;4,31;4,31;0,85;3,69
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094270;EEEF PROF MATEUS RIBEIRO;4,37;4,26;4,31;0,92;3,97
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094297;EEEF AZORCERIZ PIRES FERREIRA;5,16;4,79;4,98;0,76;3,77
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094335;EEEF ANA HIGINA;4,26;3,83;4,05;0,81;3,28
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094351;EEEF ANTONIO PESSOA;4,52;4,73;4,63;0,85;3,94
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094360;EEEF BORGES DA FONSECA;5,32;5,47;5,39;0,87;4,72
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094378;EEEF CASTRO PINTO;4,99;4,70;4,84;0,71;3,45
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094408;EEEF DES BOTO DE MENEZES;5,59;5,65;5,62;0,94;5,31
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094416;EEEF DES BRAZ BARACUHY;5,40;5,47;5,44;0,95;5,14
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094424;EEEF DOM CARLOS COELHO;4,14;3,64;3,89;1,00;3,89
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094432;EEEFM DOMINGOS JOSE DA PAIXAO;5,25;5,02;5,13;0,95;4,86
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094440;EEEF DR JOAO NAVARRO FILHO;5,84;5,73;5,78;0,82;4,74
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094475;EEEF EPITACIO PESSOA;5,56;5,25;5,41;0,89;4,80
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094491;EEEF FERNANDES VIEIRA;4,85;4,79;4,82;0,88;4,24
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094513;EEEF FREI MARTINHO;5,11;4,81;4,96;0,98;4,85
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094530;EEEF HENRIQUE DIAS;6,26;6,24;6,25;0,94;5,90
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094564;EEEF JOAQUIM NABUCO;4,82;5,07;4,95;0,73;3,60
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094599;EEEF JOSE VIEIRA;5,38;5,35;5,36;0,81;4,32
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094670;EEEF PADRE AZEVEDO;6,12;6,00;6,06;0,83;5,01
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094696;EEEF PADRE IBIAPINA;5,10;4,70;4,90;0,88;4,29
18;5º ano do Ensino Fundamental;ESTADUAL;1;1ª GRE-JOÃO PESSOA;2507507;JOAO PESSOA;25094700;EEEF PLACIDO DE CASTRO;4,60;4,99;4,79;0,97;4,65
