"IDEPB - 2018
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA";;;;;;;;;;
Etapa de Escolaridade;Rede de Ensino;GRE;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094424;EEEF DOM CARLOS COELHO;3,99;4,00;4,00;0,94;3,77
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094432;EEEFM DOMINGOS JOSE DA PAIXAO;5,42;5,21;5,32;1,00;5,32
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094440;EEEF DR JOAO NAVARRO FILHO;4,61;4,56;4,58;0,91;4,18
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094475;EEEF EPITACIO PESSOA;5,96;5,80;5,88;0,92;5,39
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094491;EEEF FERNANDES VIEIRA;5,40;5,40;5,40;0,93;5,04
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094513;EEEF FREI MARTINHO;5,32;5,17;5,24;0,94;4,95
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094530;EEEF HENRIQUE DIAS;6,85;6,48;6,67;0,98;6,52
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094580;EEEF JOSE DE ALENCAR;5,20;5,47;5,33;0,86;4,59
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094599;EEEF JOSE VIEIRA;5,96;5,86;5,91;0,91;5,39
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094670;EEEF PADRE AZEVEDO;5,61;5,46;5,54;0,87;4,81
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094696;EEEF PADRE IBIAPINA;5,12;4,67;4,89;0,86;4,19
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094700;EEEF PLACIDO DE CASTRO;5,43;5,47;5,45;0,88;4,79
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094718;EEEF PROF ADELIA DE FRANCA;5,42;5,00;5,21;0,89;4,65
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094734;EEEF PROFª MARIA DE FATIMA SOUTO;6,07;5,75;5,91;0,90;5,31
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094955;EEEF ADELAIDE NOVAIS;-;-;-;0,96;-
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094971;EEEF MONS ODILON COUTINHO;5,26;5,67;5,47;0,85;4,64
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25095005;EEEF GUSTAVO CAPANEMA;4,95;4,75;4,85;0,91;4,39
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25095013;EEEF PROFESSORA ANTONIA RANGEL DE FARIAS;6,08;5,40;5,74;0,88;5,07
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25095153;EEEF PROFª RITA DE MIRANDA HENRIQUES;4,81;4,80;4,81;0,91;4,39
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25097725;INSTITUTO DE EDUCACAO DA PARAIBA IEP;5,18;4,91;5,05;0,98;4,96
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099124;EEEFM FRANCISCO LEOCADIO RIBEIRO COUTINHO;4,53;4,25;4,39;0,77;3,38
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099132;EEEF ALINE SILVA MADRUGA;-;-;-;0,71;-
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099167;EEEF JOSE MARIANO;4,68;4,33;4,50;0,87;3,94
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099183;EEEF ANDRE VIDAL DE NEGREIROS;3,67;3,77;3,72;0,79;2,93
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099205;EEEF PREFEITO ANTONIO TEIXEIRA;4,18;4,07;4,13;0,88;3,61
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099230;EEEF JOAO URSULO;5,83;5,43;5,63;0,96;5,39
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099248;EEEF MACHADO DE ASSIS;5,17;5,06;5,11;1,00;5,11
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099264;EEEF VARZEA NOVA;4,72;4,59;4,65;0,90;4,20
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099507;ENEEFM ANISIO PEREIRA BORGES;4,66;4,16;4,41;0,89;3,93
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;ALHANDRA;25100041;EEEF BARAO DO ABIAI;4,52;4,70;4,61;0,83;3,82
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25105183;EEEF IRMA SEVERINA CAVALCANTE SOUTO;5,32;5,19;5,26;0,94;4,92
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25114425;EEEF GOV ANTONIO MARIZ;5,53;5,29;5,41;0,85;4,57
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25114506;EEEFM PROF JOSE BAPTISTA DE MELLO;5,95;6,03;5,99;0,81;4,87
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25114905;EEEF MILTON CAMPOS;6,09;5,92;6,00;0,86;5,15
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25124277;EEEFM SEVERINO DIAS DE OLIVEIRA MESTRE SIVUCA;4,79;4,82;4,80;0,70;3,34
5º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25153218;EEEF ODILON RIBEIRO COUTINHO;5,09;4,56;4,83;0,98;4,73
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CRUZ DO ESPIRITO SANTO;25088530;EEEFM DEP FERNANDO MILANEZ;3,44;3,16;3,30;0,74;2,43
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CRUZ DO ESPIRITO SANTO;25088572;EEEFM FLAVIO RIBEIRO COUTINHO;3,94;3,86;3,90;0,76;2,97
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CRUZ DO ESPIRITO SANTO;25088602;EEEF CAMPO DE SEMENTES E MUDAS;4,34;4,11;4,23;0,89;3,77
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;MARI;25088971;EEEF LUIZ MARIA DE FRANCA;4,49;4,33;4,41;0,83;3,65
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SAPE;25089773;EEEF STELLA DA CUNHA SANTOS;4,44;4,07;4,26;0,77;3,28
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SAPE;25089811;EEEF FAZENDA BURACAO;3,50;3,25;3,37;0,84;2,83
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090879;EEEFM ENG JOSE DAVILA LINS;3,77;3,54;3,66;0,65;2,38
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090887;EEEFM PROF ANTONIO GOMES;4,21;4,11;4,16;0,70;2,93
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090976;EEEF GETULIO VARGAS;3,33;4,44;3,89;0,89;3,45
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25090984;EEEFM JOAO CAETANO;4,29;4,22;4,25;0,80;3,40
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25091000;EEEF TANCREDO NEVES;4,47;4,40;4,43;0,61;2,71
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;BAYEUX;25091018;EEEF VERALDO LEITE;4,94;4,20;4,57;0,77;3,52
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091573;EEEF JOAO XXIII;3,39;3,61;3,50;0,79;2,78
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091603;EEEFM PEDRO AMERICO;4,23;3,89;4,06;0,51;2,07
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091620;EEEFM ABREU E LIMA;3,92;4,39;4,15;0,66;2,76
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;CABEDELO;25091638;EEEFM IMACULADA CONCEICAO;3,83;3,99;3,91;0,63;2,47
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25092839;CENTRO EST EXP DE ENS A SESQUICENTENARIO;5,86;5,90;5,88;0,92;5,42
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25092871;CENTRO PROFIS DEP ANTONIO CABRAL;4,57;4,43;4,50;0,67;3,01
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093622;EEEF FRANCISCO CAMPOS;5,35;5,06;5,20;0,90;4,69
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093746;EEEF PROF TERCIA BONAVIDES LINS;4,92;4,52;4,72;0,90;4,24
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093860;EEEFM RAUL MACHADO;4,21;3,85;4,03;0,64;2,57
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093894;EEEM PROF PEDRO AUGUSTO PORTO CAMINHA;3,74;4,03;3,89;0,53;2,07
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093916;EEEFM PROF RAUL CORDULA;4,83;4,35;4,59;0,74;3,41
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093932;EEEFM PROF DAURA SANTIAGO RANGEL;5,33;4,79;5,06;0,81;4,08
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093967;EEEFM PROF MARIA BRONZEADO MACHADO;4,11;4,38;4,25;0,89;3,76
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25093975;EEEFM CONEGO NICODEMOS NEVES;4,74;4,18;4,46;0,62;2,76
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094025;EEEFM TENENTE LUCENA;4,42;4,32;4,37;0,85;3,73
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094041;EEEF PROFA ARGENTINA PEREIRA GOMES;4,94;4,79;4,86;0,93;4,50
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094106;EEEFM LUZIA SIMOES BARTOLLINI;5,03;4,31;4,67;0,75;3,51
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094114;EEEIEJAFM DONA ALICE CARNEIRO;4,40;4,42;4,41;0,78;3,44
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094122;CPM-ESTUDANTE REBECA CRISTINA ALVES SIMOES;6,28;5,66;5,97;0,87;5,19
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094130;EEEFM ESCRITOR HORACIO DE ALMEIDA;4,58;4,62;4,60;0,84;3,85
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094173;EEEF PADRE MIGUELINHO;4,74;4,10;4,42;0,71;3,13
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094262;EEEF PROFESSOR JOAO JOSE DA COSTA;4,85;4,76;4,80;0,86;4,15
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094270;EEEF PROF MATEUS RIBEIRO;4,47;4,26;4,36;0,76;3,32
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094327;EEEF ALMIRANTE TAMANDARE;5,04;4,81;4,92;0,82;4,02
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094360;EEEF BORGES DA FONSECA;4,91;4,60;4,75;0,65;3,09
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094424;EEEF DOM CARLOS COELHO;3,05;3,53;3,29;0,86;2,83
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094432;EEEFM DOMINGOS JOSE DA PAIXAO;4,08;4,14;4,11;0,88;3,60
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094440;EEEF DR JOAO NAVARRO FILHO;5,34;5,47;5,40;0,64;3,48
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094459;EEEF DR OTAVIO NOVAIS;3,93;3,90;3,91;0,81;3,16
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094513;EEEF FREI MARTINHO;4,04;3,82;3,93;-;-
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094530;EEEF HENRIQUE DIAS;5,40;4,32;4,86;0,95;4,62
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094556;EEEF ISABEL MARIA DAS NEVES;5,07;5,04;5,06;0,84;4,24
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094629;EEEF PROFª MARIA GENY DE SOUSA TIMOTEO;4,96;4,68;4,82;0,77;3,71
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094637;EEEFM MONS PEDRO ANISIO BEZERRA DANTAS;5,08;4,90;4,99;0,49;2,43
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094661;EEEF PEDRO LINS VIEIRA DE MELO;4,39;4,49;4,44;0,83;3,69
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094688;EEEFM PADRE HILDON BANDEIRA;4,43;4,32;4,37;0,86;3,75
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094726;EEEFM PROF CELESTIN MALZAC;5,74;5,47;5,60;0,89;4,98
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094734;EEEF PROFª MARIA DE FATIMA SOUTO;5,23;4,76;5,00;0,80;3,98
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094750;EEEFM PROF OLIVIO PINTO;4,25;4,61;4,43;0,71;3,12
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094777;EEEFM PROFª DEBORA DUARTE;4,01;3,58;3,79;0,73;2,78
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25094793;EEEF SANTOS DUMONT;4,47;4,22;4,35;0,92;4,00
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25095013;EEEF PROFESSORA ANTONIA RANGEL DE FARIAS;5,14;5,16;5,15;0,50;2,58
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25095021;EEEFM GONCALVES DIAS;4,01;3,48;3,75;0,77;2,90
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25095080;EEEFM PADRE ROMA;5,99;5,55;5,77;0,67;3,84
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25097091;EEEFM AUDIOCOMUNICACAO;4,17;3,95;4,06;0,72;2,92
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25097733;INSTITUTO DOM ADAUTO;5,99;5,96;5,97;0,78;4,68
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;LUCENA;25098632;EEEFM IZAURA FALCAO DE CARVALHO;5,35;4,18;4,77;0,48;2,29
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099116;EEEFM PROF LUIS DE AZEVEDO SOARES;4,90;4,47;4,68;0,77;3,61
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099124;EEEFM FRANCISCO LEOCADIO RIBEIRO COUTINHO;4,45;4,21;4,33;0,48;2,06
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099132;EEEF ALINE SILVA MADRUGA;-;-;-;0,61;-
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099159;EEEFM ENEAS CARVALHO;4,37;4,16;4,27;0,70;2,99
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099175;EEEF MARIA HONORINA SANTIAGO;4,61;4,32;4,47;0,72;3,20
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099230;EEEF JOAO URSULO;4,57;4,52;4,55;0,85;3,88
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099256;EEEFM MARIA DE LOURDES ARAUJO;4,90;4,79;4,85;0,82;4,00
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099264;EEEF VARZEA NOVA;3,96;4,14;4,05;0,89;3,62
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;SANTA RITA;25099957;EEEFM DE FORTE VELHO;3,39;3,53;3,46;0,63;2,17
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;ALHANDRA;25100033;EEEFM RENATO RIBEIRO COUTINHO;4,82;4,48;4,65;0,90;4,20
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;ALHANDRA;25100041;EEEF BARAO DO ABIAI;4,07;3,95;4,01;0,68;2,71
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;PITIMBU;25101072;EEEFM DR JOAO GONCALVES;4,08;4,37;4,22;0,73;3,10
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;PITIMBU;25101099;EEEFM DURVAL GUEDES;3,86;3,72;3,79;0,80;3,01
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;ALHANDRA;25102519;EEEFM ANTONIO CAMELO;3,45;3,65;3,55;0,64;2,26
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25114425;EEEF GOV ANTONIO MARIZ;4,87;5,12;4,99;0,87;4,34
9º ano do Ensino Fundamental;ESTADUAL;1ª GRE-JOÃO PESSOA;JOAO PESSOA;25114506;EEEFM PROF JOSE BAPTISTA DE MELLO;5,21;4,08;4,64;0,72;3,34
